frame,baseline_elapsed_s,baseline_miou,hybrid_source,hybrid_elapsed_s,hybrid_valid_pct,hybrid_miou
448,0.3972,,flow,0.2113,0.9688,
449,0.4089,,flow,0.2065,0.9680,
450,0.4104,,flow,0.2070,0.9523,
451,0.3973,,flow,0.2066,0.9508,
452,0.4125,,model,0.4077,1.0000,
453,0.4099,,flow,0.2071,0.9895,
454,0.4080,,flow,0.2065,0.9842,
455,0.4102,,flow,0.2065,0.9788,
456,0.4114,,flow,0.2070,0.9766,
457,0.4092,,flow,0.2071,0.9691,
458,0.3978,,flow,0.2066,0.9644,
459,0.4222,,flow,0.2070,0.9635,
460,0.4110,,flow,0.2071,0.9556,
461,0.4228,,flow,0.2072,0.9531,
462,0.4051,,model,0.4069,1.0000,
463,0.3980,,flow,0.2068,0.9858,
464,0.3993,,flow,0.2065,0.9516,
465,0.4009,,model,0.4014,1.0000,
466,0.3977,,flow,0.2071,0.9796,
467,0.4090,,flow,0.2072,0.9680,
468,0.3952,,flow,0.2071,0.9603,
469,0.3999,,flow,0.2071,0.9591,
470,0.4027,,flow,0.2067,0.9523,
471,0.4083,,flow,0.2072,0.9515,
472,0.4079,,model,0.4076,1.0000,
473,0.4057,,flow,0.2067,0.9763,
474,0.3939,,flow,0.2071,0.9519,
475,0.3959,,model,0.4019,1.0000,
476,0.4127,,flow,0.2067,0.9657,
477,0.4085,,flow,0.2072,0.9587,
478,0.3957,,flow,0.2071,0.9509,
479,0.4080,,model,0.3965,1.0000,
480,0.4019,,flow,0.2067,0.9640,
481,0.3982,,flow,0.2166,0.9593,
482,0.4041,,model,0.3994,1.0000,
483,0.3980,,flow,0.2159,0.9836,
484,0.3991,,model,0.3957,1.0000,
485,0.4082,,flow,0.2163,0.9646,
486,0.4080,,flow,0.2160,0.9544,
487,0.4011,,flow,0.2163,0.9536,
488,0.3966,,model,0.4074,1.0000,
489,0.4079,,flow,0.2163,0.9862,
490,0.4076,,flow,0.2158,0.9838,
491,0.3979,,flow,0.2158,0.9811,
492,0.4133,,flow,0.2163,0.9749,
493,0.4098,,flow,0.2164,0.9723,
494,0.3991,,flow,0.2163,0.9675,
495,0.3999,,flow,0.2163,0.9666,
496,0.3990,,flow,0.2165,0.9636,
497,0.4011,,flow,0.1967,0.9545,
498,0.3983,,flow,0.2065,0.9528,
499,0.3999,,flow,0.1966,0.9507,
500,0.4079,0.8568,model,0.4076,1.0000,0.8568
501,0.3962,,flow,0.1972,0.9889,
502,0.4076,,flow,0.1971,0.9677,
503,0.3991,,flow,0.1966,0.9636,
504,0.4045,,flow,0.1971,0.9581,
505,0.4079,,model,0.3966,1.0000,
506,0.4093,,flow,0.1968,0.9672,
507,0.4017,,flow,0.1971,0.9581,
508,0.4006,,flow,0.1971,0.9529,
509,0.3981,,flow,0.1971,0.9513,
510,0.4030,,model,0.3999,1.0000,
511,0.4023,,flow,0.1973,0.9722,
512,0.4075,,flow,0.1966,0.9616,
513,0.4116,,flow,0.1917,0.9585,
514,0.4041,,flow,0.1915,0.9523,
515,0.3960,,flow,0.1915,0.9515,
516,0.4011,,model,0.4116,1.0000,
517,0.4071,,flow,0.1920,0.9780,
518,0.3997,,flow,0.1916,0.9598,
519,0.4082,,flow,0.1921,0.9583,
520,0.4024,,flow,0.1916,0.9520,
521,0.3983,,model,0.3990,1.0000,
522,0.3980,,flow,0.1918,0.9614,
523,0.3979,,flow,0.1920,0.9588,
524,0.4078,,flow,0.1916,0.9545,
525,0.4090,,flow,0.1920,0.9529,
526,0.4019,,model,0.4111,1.0000,
527,0.4106,,flow,0.1916,0.9700,
528,0.3989,,flow,0.1921,0.9655,
529,0.4024,,flow,0.1915,0.9630,
530,0.3966,,flow,0.1913,0.9595,
531,0.3971,,flow,0.1918,0.9589,
532,0.4083,,flow,0.1917,0.9567,
533,0.4096,,flow,0.1913,0.9539,
534,0.4085,,model,0.3985,1.0000,
535,0.3998,,flow,0.1917,0.9930,
536,0.3981,,flow,0.1913,0.9785,
537,0.4030,,flow,0.1912,0.9759,
538,0.4113,,model,0.4027,1.0000,
539,0.3970,,flow,0.1917,0.9951,
540,0.4094,,flow,0.1915,0.9849,
541,0.3976,,model,0.4058,1.0000,
542,0.3981,,flow,0.1913,0.9752,
543,0.3978,,flow,0.1917,0.9704,
544,0.3967,,model,0.3975,1.0000,
545,0.4058,,flow,0.2179,0.9836,
546,0.4062,,flow,0.2167,0.9724,
547,0.4132,,flow,0.2161,0.9704,
548,0.4030,,flow,0.2161,0.9633,
549,0.4021,,flow,0.2162,0.9623,
550,0.4111,,flow,0.2164,0.9548,
551,0.4004,,flow,0.2166,0.9540,
552,0.4115,,flow,0.2162,0.9523,
553,0.4029,,flow,0.2165,0.9501,
554,0.4134,,model,0.4011,1.0000,
555,0.4014,,flow,0.2161,0.9822,
556,0.4035,,model,0.4015,1.0000,
557,0.4015,,flow,0.2162,0.9849,
558,0.4067,,model,0.4134,1.0000,
559,0.4013,,flow,0.2161,0.9945,
560,0.4149,,flow,0.2166,0.9777,
561,0.4049,,flow,0.1937,0.9747,
562,0.4007,,flow,0.1938,0.9702,
563,0.4074,,flow,0.1937,0.9668,
564,0.3991,,flow,0.1937,0.9597,
565,0.4005,,model,0.4016,1.0000,
566,0.4031,,flow,0.1941,0.9851,
567,0.4097,,flow,0.1937,0.9830,
568,0.4156,,flow,0.1937,0.9797,
569,0.4119,,flow,0.1936,0.9504,
570,0.4029,,model,0.4002,1.0000,
571,0.4035,,flow,0.1937,0.9643,
572,0.3983,,flow,0.1937,0.9548,
573,0.4033,,flow,0.1937,0.9537,
574,0.4026,,flow,0.1937,0.9501,
575,0.3993,,model,0.3993,1.0000,
576,0.3987,,flow,0.1939,0.9929,
577,0.4085,,flow,0.2003,0.9916,
578,0.4127,,flow,0.2001,0.9866,
579,0.4083,,flow,0.2001,0.9838,
580,0.4018,,flow,0.2001,0.9594,
581,0.4123,,flow,0.2002,0.9572,
582,0.4016,,model,0.3996,1.0000,
583,0.4106,,flow,0.2001,0.9959,
584,0.4010,,flow,0.2001,0.9544,
585,0.4008,,model,0.4011,1.0000,
586,0.4014,,flow,0.2001,0.9627,
587,0.4005,,flow,0.2003,0.9613,
588,0.4136,,model,0.4015,1.0000,
589,0.4108,,flow,0.2002,0.9876,
590,0.4051,,flow,0.2001,0.9805,
591,0.4155,,flow,0.2008,0.9726,
592,0.4031,,flow,0.2009,0.9565,
593,0.4081,,model,0.4024,1.0000,
594,0.4028,,flow,0.1932,0.9833,
595,0.4111,,flow,0.1930,0.9762,
596,0.3976,,flow,0.1932,0.9575,
597,0.4004,,flow,0.1930,0.9565,
598,0.4006,,model,0.3999,1.0000,
599,0.4127,,flow,0.1930,0.9944,
600,0.3984,0.8784,flow,0.1930,0.9619,0.8774
601,0.4110,,flow,0.1931,0.9580,
602,0.4035,,flow,0.1930,0.9525,
603,0.3991,,flow,0.1930,0.9512,
604,0.4001,,model,0.4083,1.0000,
605,0.4112,,flow,0.1935,0.9887,
606,0.4085,,flow,0.1935,0.9707,
607,0.3992,,flow,0.1930,0.9698,
608,0.4084,,flow,0.1935,0.9671,
609,0.4055,,flow,0.2125,0.9661,
610,0.4084,,flow,0.2110,0.9639,
611,0.3997,,flow,0.2105,0.9567,
612,0.4109,,flow,0.2105,0.9512,
613,0.3992,,flow,0.2110,0.9501,
614,0.4107,,model,0.4114,1.0000,
615,0.4010,,flow,0.2110,0.9917,
616,0.3960,,flow,0.2106,0.9795,
617,0.4082,,flow,0.2111,0.9723,
618,0.4015,,flow,0.2106,0.9635,
619,0.4019,,flow,0.2111,0.9627,
620,0.4051,,flow,0.2106,0.9551,
621,0.4086,,flow,0.2111,0.9542,
622,0.4010,,model,0.4106,1.0000,
623,0.4076,,flow,0.2110,0.9915,
